Absorption_Coefficient_PLA,Absorption_Coefficient_TPU
0.28735042299999997,0.45060216666666664
0.28938265599999996,0.4509853666666667
0.2925123333333333,0.45671256666666665
0.2954939353333333,0.4591095666666667
0.29591833933333334,0.4542439333333333
0.29645028533333334,0.4494956666666667
0.298518976,0.4503440666666667
0.3008220756666667,0.4521057333333333
0.303881879,0.45255666666666666
0.306021541,0.4550377666666667
0.3079694783333333,0.4535038333333333
0.3090965703333333,0.4537891
0.3103500553333333,0.4522559666666666
0.3124911676666667,0.4543998
0.3165920343333333,0.45896699999999996
0.3184019093333333,0.4580594
0.3201496406666667,0.45902803333333336
0.3252710353333333,0.4640796333333334
0.32672752666666666,0.46461939999999996
0.32864014033333333,0.4656765666666667
0.33132826099999996,0.46671016666666665
0.33372163200000005,0.4677531666666666
0.33749028733333336,0.47162503333333333
0.339611721,0.47028396666666666
0.34132381633333336,0.4710805333333334
0.3453262143333333,0.4771212
0.347374381,0.47671983333333334
0.3508663376666667,0.4791992666666667
0.3553972636666667,0.48533133333333334
0.3576248606666666,0.48678303333333334
0.35909941900000003,0.48437006666666665
0.36179432,0.4857610666666667
0.36469073266666663,0.4852559
0.36899221433333335,0.4877161666666667
0.37156791100000003,0.49078456666666664
0.377894491,0.5014778333333333
0.3800115083333333,0.5015153
0.383276507,0.5016289666666667
0.3853927166666667,0.5026864
0.38852962133333335,0.5062547000000001
0.39440569200000003,0.5175102666666667
0.3982977186666667,0.5189827666666668
0.400801545,0.5198692333333333
0.40372420066666664,0.5249821333333333
0.4090684683333334,0.5292594333333334
0.4111686156666667,0.5306835333333333
0.41371229566666673,0.5339098
0.4179968806666667,0.5384336333333333
0.4207163276666666,0.5420298333333333
0.42306701166666666,0.5406061
0.4278847253333333,0.5441196
0.43394851399999995,0.5533369666666667
0.436774339,0.5549329666666667
0.44086277966666665,0.5611548333333333
0.4461895333333333,0.5666566666666667
0.44758068,0.5630780333333334
0.45105615099999996,0.5680695
0.45686826100000005,0.5730472666666667
0.4610884083333333,0.5770156000000001
0.46585100766666665,0.5784933333333333
0.46856249,0.5791928
0.4727757373333333,0.5827182000000001
0.479529514,0.5897179666666666
0.4835097003333333,0.5931933666666667
0.49015316066666664,0.6010980666666667
0.4955886413333333,0.607359
