f,alpha
377.0,0.284982787558114
397.28859060402687,0.30065333588194554
417.5771812080537,0.3143084746552607
437.86577181208054,0.3264162855307192
458.1543624161074,0.33751380861840785
478.44295302013427,0.348173114273463
498.7315436241611,0.35897478173956
519.020134228188,0.37048811798339976
539.3087248322148,0.38325616281390973
559.5973154362416,0.3977827509528049
579.8859060402685,0.41451852362504726
600.1744966442953,0.43384273814880536
620.4630872483222,0.45603809471396894
640.7516778523491,0.4812568746560856
661.0402684563759,0.5094789679205125
681.3288590604027,0.5404664292189232
701.6174496644296,0.5737252077676069
721.9060402684564,0.6084914753509434
742.1946308724832,0.6437639159200008
762.4832214765102,0.6783983543165817
782.771812080537,0.7112619450935053
803.0604026845638,0.7414137158885651
823.3489932885907,0.7682533240343842
843.6375838926175,0.7915836942265977
863.9261744966443,0.8115726891721269
884.2147651006712,0.8286489209062861
904.503355704698,0.8433883852733559
924.7919463087248,0.85642849601246
945.0805369127518,0.8684088451074236
965.3691275167786,0.8799173173836687
985.6577181208054,0.8914273677264888
1005.9463087248323,0.9032334817805909
1026.2348993288592,0.9154063388982812
1046.523489932886,0.9277866997193491
1066.8120805369128,0.9400219316995614
1087.1006711409395,0.9516329531750963
1107.3892617449665,0.9620913960794845
1127.6778523489934,0.9708890672739938
1147.9664429530203,0.9775902143761289
1168.255033557047,0.9818653253484165
1188.543624161074,0.9835091306105623
1208.8322147651006,0.9824454060889607
1229.1208053691275,0.9787200261461131
1249.4093959731545,0.9724837497087958
1269.6979865771814,0.9639674577823445
1289.986577181208,0.9534537061366268
1310.275167785235,0.9412485627787767
1330.5637583892617,0.927656838716694
1350.8523489932886,0.9129626665742351
1371.1409395973155,0.8974164596588277
1391.4295302013425,0.8812286123029037
1411.7181208053692,0.8645695958801423
1432.006711409396,0.847575210198118
1452.295302013423,0.830354880803408
1472.5838926174497,0.8130004888655189
1492.8724832214766,0.7955935746904675
1513.1610738255035,0.7782097437099336
1533.4496644295302,0.7609202524019161
1553.7382550335572,0.7437915725632012
1574.026845637584,0.7268840103798189
1594.3154362416108,0.7102502870828945
1614.6040268456377,0.6939346151329867
1634.8926174496646,0.6779724437288247
1655.1812080536913,0.6623908071053561
1675.4697986577182,0.6472090995312303
1695.7583892617452,0.6324400850947177
1716.0469798657718,0.6180909834590871
1736.3355704697988,0.604164521228824
1756.6241610738257,0.5906598838779035
1776.9127516778524,0.5775735379565474
1797.2013422818793,0.5648999166630584
1817.4899328859062,0.5526319757967284
1837.778523489933,0.5407616342169856
1858.0671140939598,0.5292801156235913
1878.3557046979868,0.5181782085247681
1898.6442953020135,0.507446459931195
1918.9328859060404,0.4970753163566509
1939.2214765100673,0.48705522360857645
1959.510067114094,0.4773766948352408
1979.798657718121,0.46803035449961206
2000.0872483221478,0.4590069643986532
2020.3758389261745,0.45029743654953847
2040.6644295302015,0.4418928366978033
2060.9530201342286,0.43378438133656616
2081.241610738255,0.42596343043348917
2101.530201342282,0.41842147751059455
2121.818791946309,0.41115013829084146
2142.1073825503354,0.4041411387867728
2162.3959731543628,0.39738630344879866
2182.6845637583892,0.3908775437928008
2202.973154362416,0.38460684777988974
2223.261744966443,0.37856627011466915
2243.55033557047,0.37274792355129693
2263.838926174497,0.36714397124712717
2284.1275167785234,0.3617466201707006
2304.4161073825508,0.3565481155541176
2324.7046979865772,0.3515407363743057
2344.993288590604,0.34671679184912496
2365.281879194631,0.3420686189423575
2385.570469798658,0.3375885808834731
2405.859060402685,0.3332690667206575
2426.1476510067114,0.3291024919409382
2446.4362416107383,0.32508130020407644
2466.7248322147652,0.3211979662489547
2487.013422818792,0.3174450000416179
2507.302013422819,0.3138149522399559
2527.590604026846,0.3103004210533562
2547.8791946308725,0.30689406057380875
2568.1677852348994,0.30358859064896837
2588.4563758389263,0.30037680835569247
2608.7449664429532,0.2972516011164318
2629.03355704698,0.29420596147795464
2649.322147651007,0.29123300354383697
2669.6107382550335,0.28832598102018425
2689.8993288590605,0.285478306794543
2710.1879194630874,0.2826835739275696
2730.4765100671143,0.279935577890722
2750.765100671141,0.27722833983607964
2771.053691275168,0.274556130637588
2791.3422818791946,0.27191349539336607
2811.6308724832215,0.2692952780373855
2831.9194630872485,0.2666966456667814
2852.2080536912754,0.26411311215878064
2872.4966442953023,0.2615405606264376
2892.785234899329,0.25897526424796813
2913.0738255033557,0.25641390500172234
2933.3624161073826,0.25385358984974293
2953.6510067114095,0.2512918639372329
2973.9395973154365,0.24872672041360144
2994.2281879194634,0.24615660653348448
3014.5167785234903,0.24358042576103045
3034.805369127517,0.24099753567751536
3055.0939597315437,0.2384077415773378
3075.3825503355706,0.23581128572996113
3095.6711409395975,0.2332088323801974
3115.9597315436245,0.2306014486543112
3136.2483221476514,0.22799058163226904
3156.5369127516783,0.22537803192977846
3176.8255033557048,0.2227659242120844
3197.1140939597317,0.2201566751214995
3217.4026845637586,0.21755295915220108
3237.6912751677855,0.21495767303699675
3257.9798657718125,0.21237389922843342
3278.2684563758394,0.20980486905573814
3298.557046979866,0.20725392612386584
3318.8456375838928,0.204724490490525
3339.1342281879197,0.20222002411338302
3359.4228187919466,0.1997439980074166
3379.7114093959735,0.19729986148951673
3400.0,0.19489101382174046
