f,alpha
377.0,0.28456984612821223
481.2413793103448,0.3565637100127924
585.4827586206897,0.43109445075182484
689.7241379310344,0.5444927689754612
793.9655172413793,0.7061681656681544
898.2068965517242,0.8395127333637178
1002.448275862069,0.9135604695706231
1106.6896551724137,0.9693909345662474
1210.9310344827586,0.978466942005868
1315.1724137931035,0.923942605957133
1419.4137931034484,0.8346729861883193
1523.655172413793,0.7429610124013494
1627.896551724138,0.6654328499330955
1732.1379310344828,0.6054730016882808
1836.3793103448274,0.5600238905663515
1940.6206896551723,0.5237003299528804
2044.8620689655172,0.4906387502712193
2149.1034482758623,0.455817244779818
2253.344827586207,0.4165194573224592
2357.5862068965516,0.3732723649630483
2461.8275862068967,0.3292323396945268
2566.0689655172414,0.28827914573638913
2670.310344827586,0.2533081248718594
2774.551724137931,0.22568459085277504
2878.793103448276,0.20560223084113827
2983.0344827586205,0.19267093323324647
3087.2758620689656,0.1863227720846845
3191.5172413793102,0.18590710170629732
3295.758620689655,0.19028143701497924
3400.0,0.1967096260761948
