f,alpha
377.0,0.2856639591192567
428.2372881355932,0.3205162544757114
479.47457627118644,0.3481483429502078
530.7118644067797,0.37729688000394934
581.9491525423729,0.4163632049911208
633.1864406779661,0.4718288955210864
684.4237288135594,0.5459263439727413
735.6610169491526,0.6329554808481881
786.8983050847457,0.7180920271656581
838.1355932203389,0.7859595306383619
889.3728813559321,0.8328967873364954
940.6101694915254,0.8660997244529934
991.8474576271186,0.8952206944766903
1043.084745762712,0.9258516609318992
1094.322033898305,0.9556016243335886
1145.5593220338983,0.9769423663238177
1196.7966101694915,0.9834021257956445
1248.0338983050847,0.9729865051146147
1299.2711864406779,0.948089800166148
1350.508474576271,0.9132804417386657
1401.7457627118642,0.8728969149590791
1452.9830508474577,0.8298821268708271
1504.2203389830509,0.7859977600169361
1555.457627118644,0.7425017126072788
1606.6949152542372,0.700420541978082
1657.9322033898304,0.6604839273652239
1709.1694915254236,0.6230894467420423
1760.4067796610168,0.5883737091566632
1811.6440677966102,0.5563124754187216
1862.8813559322034,0.5267986936415572
1914.1186440677966,0.4996901100380693
1965.3559322033898,0.474834249473166
2016.593220338983,0.4520797910076281
2067.830508474576,0.43128069937148683
2119.0677966101694,0.4122968941181182
2170.3050847457625,0.39499350122134513
2221.5423728813557,0.37923970484602887
2272.779661016949,0.3649076541095996
2324.016949152542,0.3518715940621183
2375.2542372881353,0.3400072625889652
2426.4915254237285,0.3291915533248293
2477.728813559322,0.31930244584542555
2528.9661016949153,0.3102192223911797
2580.2033898305085,0.3018230090529027
2631.4406779661017,0.2939976882228671
2682.677966101695,0.28663122119621665
2733.915254237288,0.279617391029093
2785.1525423728813,0.27285792556348587
2836.3898305084745,0.2662648930657032
2887.6271186440677,0.2597631880614809
2938.864406779661,0.2532928580809697
2990.101694915254,0.24681098177300087
3041.338983050847,0.24029281244614253
3092.5762711864404,0.23373195837873617
3143.8135593220336,0.22713947941032553
3195.050847457627,0.22054192108945647
3246.2881355932204,0.2139784544886565
3297.5254237288136,0.2074974098759178
3348.762711864407,0.20115256036637597
3400.0,0.19499951614634325
