%eval_id interface x1             x2             x3             x4             x5             x6             x7             x8             least_sq_term_1 least_sq_term_2 least_sq_term_3 least_sq_term_4 least_sq_term_5 least_sq_term_6 least_sq_term_7 least_sq_term_8 least_sq_term_9 least_sq_term_10 least_sq_term_11 least_sq_term_12 least_sq_term_13 least_sq_term_14 least_sq_term_15 least_sq_term_16 least_sq_term_17 least_sq_term_18 least_sq_term_19 least_sq_term_20 least_sq_term_21 least_sq_term_22 least_sq_term_23 least_sq_term_24 least_sq_term_25 least_sq_term_26 least_sq_term_27 least_sq_term_28 least_sq_term_29 least_sq_term_30 
1        NO_ID      0.4780989347   -1.524248342   2.014821037    -12.87963959   1279.340146    -7378.204558   950.3632153    -6921.246505   -0.001073      0.027455       -0.00781       -0.050848      0.0175         0.031539       -0.011843      0.011285       0.011075       -0.009892      -0.011104      -0.014091      -0.002613      0.01908        0.005899       -0.023832      -0.009773      0.020757       0.032244       0.016459       7.1e-05        0.005911       0.005072       0.00107        -0.004871      -0.001003      -0.004953      -0.009111      -0.00295       0.005749       
2        NO_ID      0.756738441    -3.617774864   1.927905076    -12.09735413   1207.451627    -6894.656841   956.1505168    -7012.524822   -0.014017      0.0156         -0.000301      -0.026086      0.006694       0.00662        -0.021357      -0.001816      -0.0013        -0.016058      -0.012022      -0.01241       -0.000323      0.02092        0.006804       -0.024064      -0.011193      0.018228       0.028823       0.012473       -0.004121      0.001824       0.001312       -0.002208      -0.007539      -0.002904      -0.005839      -0.008577      -0.000423      0.011018       
3        NO_ID      0.9276443456   -4.815442444   1.681015248    -10.42036168   1136.953805    -6428.194289   909.3552719    -6733.404979   -0.014393      0.013231       0.001794       -0.021496      0.003084       0.003776       -0.021025      0.00059        0.00513        -0.008823      -0.007347      -0.011231      -0.002028      0.017299       0.002097       -0.02925       -0.016455      0.013118       0.023953       0.007855       -0.008486      -0.002269      -0.002477      -0.005659      -0.010611      -0.005532      -0.007898      -0.009831      -0.000518      0.012572       
4        NO_ID      0.9891507299   -5.248597505   1.387359543    -8.368538427   1097.966276    -6102.512421   861.3876103    -6419.753353   -0.011752      0.010166       0.000514       -0.016761      0.004337       -0.000498      -0.023523      -0.000578      0.007111       -0.004777      -0.003855      -0.009701      -0.002486      0.015426       -0.000529      -0.032043      -0.01896       0.011184       0.022666       0.007114       -0.008864      -0.00246       -0.002605      -0.005806      -0.010841      -0.005916      -0.00854       -0.010896      -0.002232      0.00993        
5        NO_ID      0.9332161926   -4.843537813   1.277092739    -7.589021688   1067.42549     -5858.047381   831.8066919    -6201.679845   -0.008644      0.008881       -0.000578      -0.01295       0.01032        0.001174       -0.023178      -0.000456      0.007146       -0.004129      -0.002512      -0.007973      -0.000602      0.01741        0.001604       -0.029673      -0.016277      0.014198       0.025944       0.010517       -0.005495      0.000753       0.000389       -0.003044      -0.0083        -0.003583      -0.006423      -0.009051      -0.00079       0.010808       
6        NO_ID      0.9520147766   -4.978017137   1.232920108    -7.282964332   1031.111168    -5624.485155   818.6520889    -6113.290412   -0.00858       0.008992       0.001087       -0.010355      0.011397       0.001261       -0.022806      -7.1e-05       0.007927       -0.002979      -0.00141       -0.007181      -0.000151      0.017591       0.001594       -0.029821      -0.016539      0.01382        0.025443       0.0099         -0.006197      1.5e-05        -0.000333      -0.003702      -0.008846      -0.003958      -0.00654       -0.008768      7.4e-05        0.012529       
7        NO_ID      0.9423249346   -4.906447308   1.179422694    -6.906435263   1033.386824    -5617.384775   806.1431586    -6022.580396   -0.007262      0.00843        0.000203       -0.009983      0.012028       0.000744       -0.02336       -0.000378      0.007985       -0.002652      -0.001117      -0.00714       -0.000393      0.017142       0.001049       -0.030349      -0.016946      0.013608       0.025451       0.010101       -0.005863      0.000416       8.2e-05        -0.00331       -0.008509      -0.003712      -0.006438      -0.008901      -0.000425      0.011493       
8        NO_ID      0.9350268801   -4.853547857   1.177107919    -6.891103651   1021.347723    -5539.69567    802.3359573    -5992.286422   -0.006913      0.008453       0.00032        -0.00945       0.012879       0.001318       -0.022991      -8.2e-05       0.008156       -0.002506      -0.000894      -0.006814      2e-05          0.017615       0.001557       -0.02983       -0.016445      0.014065       0.02584        0.01041        -0.005634      0.000578       0.000193       -0.003233      -0.008448      -0.003648      -0.006348      -0.00875       -0.00017       0.01191        
9        NO_ID      0.9340242855   -4.845643543   1.149336466    -6.695305017   1016.789276    -5499.886557   794.5842227    -5935.885212   -0.006431      0.007928       -0.000224      -0.009308      0.013009       0.000919       -0.02329       -0.000237      0.008206       -0.002294      -0.000698      -0.00676       -9.2e-05       0.017373       0.00124        -0.030169      -0.016759      0.013808       0.025654       0.010289       -0.005708      0.000533       0.000163       -0.003259      -0.008477      -0.003688      -0.00641       -0.008854      -0.000344      0.011637       
10       NO_ID      0.9341021765   -4.846037793   1.117839635    -6.474303763   1020.076726    -5511.108729   788.9532883    -5898.260467   -0.006118      0.007676       -0.000301      -0.008856      0.013116       0.000439       -0.023682      -0.000494      0.008292       -0.001939      -0.000356      -0.00662       -0.000185      0.017104       0.000873       -0.030553      -0.017089      0.013585       0.02556        0.010315       -0.00559       0.000708       0.000368       -0.003043      -0.008265      -0.003496      -0.006262      -0.008788      -0.000419      0.01135        
11       NO_ID      0.9366306982   -4.865305292   1.157467021    -6.754218079   1017.478181    -5511.458426   799.5699569    -5975.784572   -0.007101      0.008333       0.000752       -0.008586      0.013313       0.001277       -0.023024      -0.000112      0.00833        -0.002121      -0.000475      -0.00649       0.000219       0.017715       0.001598       -0.029809      -0.016413      0.014125       0.025931       0.010524       -0.005509      0.000705       0.000318       -0.003111      -0.008326      -0.003522      -0.006216      -0.008609      -2.4e-05       0.012064       
